Accession	flaID	length	HVR_length	ncbi_taxid	ncbi_phylum	Domain	Phylum	Class	Order	Family	Genus	Species	genome_size
WP_041272513.1	fla17	395	155	49338	Firmicutes	d__Bacteria	p__Firmicutes_B	c__Desulfitobacteriia	o__Desulfitobacteriales	f__Desulfitobacteriaceae	g__Desulfitobacterium	s__Desulfitobacterium hafniense	5666696
CDX03139.1	fla18	394	154	49338	Firmicutes	d__Bacteria	p__Firmicutes_B	c__Desulfitobacteriia	o__Desulfitobacteriales	f__Desulfitobacteriaceae	g__Desulfitobacterium	s__Desulfitobacterium hafniense	5666696
ACL22196.1	fla19	385	145	272564	Firmicutes	d__Bacteria	p__Firmicutes_B	c__Desulfitobacteriia	o__Desulfitobacteriales	f__Desulfitobacteriaceae	g__Desulfitobacterium	s__Desulfitobacterium hafniense	5279134
WP_018305791.1	fla20	382	142	49338	Firmicutes	d__Bacteria	p__Firmicutes_B	c__Desulfitobacteriia	o__Desulfitobacteriales	f__Desulfitobacteriaceae	g__Desulfitobacterium	s__Desulfitobacterium hafniense	5666696
WP_077714885.1	fla21	565	325	1833852	Firmicutes	d__Bacteria	p__Firmicutes_B	c__Desulfotomaculia	o__Desulfotomaculales	f__Desulfotomaculaceae	g__Desulfotomaculum	s__Desulfotomaculum ferrireducens	3240180
ADI02656.1	fla22	688	448	643648	Firmicutes	d__Bacteria	p__Firmicutes_B	c__Syntrophomonadia	o__Syntrophomonadales	f__Syntrophothermaceae	g__Syntrophothermus	s__Syntrophothermus lipocalidus	2405559
ABO50939.1	fla23	713	473	349161	Firmicutes	d__Bacteria	p__Firmicutes_B	c__Desulfotomaculia	o__Desulfotomaculales	f__Desulfotomaculaceae	g__Desulfotomaculum	s__Desulfotomaculum reducens	3608104
GBF32286.1	fla24	954	714	1898651	Firmicutes	d__Bacteria	p__Firmicutes_B	c__Desulfotomaculia	o__Desulfotomaculales	f__Desulfocucumaceae	g__Desulfocucumis	s__Desulfocucumis palustris	3701809
WP_091224762.1	fla25	834	594	1881032	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus_Z	s__Paenibacillus_Z sp900116125	7195142
KTE92020.1	fla26	623	383	49338	Firmicutes	d__Bacteria	p__Firmicutes_B	c__Desulfitobacteriia	o__Desulfitobacteriales	f__Desulfitobacteriaceae	g__Desulfitobacterium	s__Desulfitobacterium hafniense	5666696
SHN80938.1	fla27	600	360	1121395	Firmicutes	d__Bacteria	p__Firmicutes_B	c__Desulfitobacteriia	o__Desulfitobacteriales	f__Desulfitobacteriaceae	g__Desulfitobacterium	s__Desulfitobacterium chlororespirans	5606984
KJS48310.1	fla28	1153	913	1629714	Firmicutes	d__Bacteria	p__Firmicutes_B	c__Desulfitobacteriia	o__Desulfitobacteriales	f__Desulfitobacteriaceae	g__Desulfosporosinus	s__Desulfosporosinus sp000961805	6027195
WP_034598424.1	fla29	656	416	1487923	Firmicutes	d__Bacteria	p__Firmicutes_B	c__Desulfitobacteriia	o__Desulfitobacteriales	f__Desulfitobacteriaceae	g__Desulfosporosinus	s__Desulfosporosinus sp000765145	4744842
KUO70143.1	fla30	1652	1412	1734396	Firmicutes	d__Bacteria	p__Firmicutes_B	c__Desulfitobacteriia	o__Desulfitobacteriales	f__Desulfitobacteriaceae	g__Desulfosporosinus	s__Desulfosporosinus sp001516045	6234251
EHQ91627.1	fla31	843	603	768710	Firmicutes	d__Bacteria	p__Firmicutes_B	c__Desulfitobacteriia	o__Desulfitobacteriales	f__Desulfitobacteriaceae	g__Desulfosporosinus	s__Desulfosporosinus youngiae	5660978
KRE97958.1	fla32	555	315	1736404	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus_E	s__Paenibacillus_E sp001428105	8257780
KJS65406.1	fla33	549	309	1531961	Firmicutes	d__Bacteria	p__Firmicutes_B	c__Desulfotomaculia	o__Desulfotomaculales	f__Desulfocucumaceae	g__BRHc4a	s__BRHc4a sp000802095	4745667
PKM61038.1	fla34	424	184	2013785	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__Acetobacterium	s__Acetobacterium sp002841405	3732215
OFV70011.1	fla35	359	119	52694	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__Acetobacterium	s__Acetobacterium wieringae	3606343
WP_050739420.1	fla36	622	382	52689	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__Acetobacterium	s__Acetobacterium bakii	4135635
OXS25090.1	fla37	435	195	1899015	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__Acetobacterium	s__Acetobacterium wieringae	3648609
AWW26399.1	fla38	433	193	2184575	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__Acetobacterium	s__Acetobacterium sp003260995	3988368
AFA49249.1	fla39	431	191	931626	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__Acetobacterium	s__Acetobacterium woodii	4044777
WP_098796393.1	fla40	313	73	2033502	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Metabacillus	s__Metabacillus sp002577655	5258052
WP_039230967.1	fla41	478	238	1221996	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__Domibacillaceae	g__Quasibacillus	s__Quasibacillus thermotolerans	3825819
OAH54610.1	fla42	274	34	29332	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__Domibacillaceae	g__Domibacillus	s__Domibacillus aminovorans	3731130
WP_052698371.1	fla43	270	30	1017273	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__Domibacillaceae	g__Domibacillus	s__Domibacillus enclensis	3835730
WP_046174427.1	fla44	270	30	1437523	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__Domibacillaceae	g__Domibacillus	s__Domibacillus indicus	3604247
WP_100330011.1	fla45	282	42	2014075	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__Domibacillaceae	g__FJAT-46582	s__FJAT-46582 sp002797355	3264462
WP_078110370.1	fla46	285	45	38875	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__Bacillaceae_C	g__Heyndrickxia	s__Heyndrickxia oleronia	5083966
PFP30794.1	fla47	437	197	2033511	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-18226	g__Neobacillus	s__Neobacillus sp002567005	5631410
WP_023613758.1	fla48	437	197	977905	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-18226	g__Mesobacillus	s__Mesobacillus boroniphilus	4696869
AXI27973.1	fla49	361	121	1404	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_H	g__Priestia	s__Priestia megaterium	5888189
WP_053429070.1	fla50	355	115	189381	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__Bacillaceae_B	g__Rossellomorea	s__Rossellomorea marisflavi_A	4345790
SGI72314.1	fla51	378	138	1773	Actinobacteria	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__Mycobacterium tuberculosis	4539435
WP_101567454.1	fla52	560	320	2066053	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus_P	s__Bacillus_P sp002858905	4598139
PKG22078.1	fla53	551	311	115979	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-18226	g__Niallia	s__Niallia nealsonii	4691494
PAK44455.1	fla54	533	293	1404	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_H	g__Priestia	s__Priestia megaterium	5888189
WP_067212015.1	fla55	552	312	1476	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Sporosarcina	s__Sporosarcina psychrophila	4674191
SOC34969.1	fla56	512	272	614649	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Ureibacillus	s__Ureibacillus acetophenoni	3977008
OBW58796.1	fla57	389	149	76853	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Solibacillus	s__Solibacillus silvestris	4179438
WP_106783730.1	fla58	387	147	2086577	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Ureibacillus	s__Ureibacillus timonensis	4220244
WP_117155720.1	fla59	376	136	470815	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Amphibacillaceae	g__Paraliobacillus_A	s__Paraliobacillus_A quinghaiensis	3296647
WP_102335580.1	fla60	394	154	1230341	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Halobacillaceae	g__Salimicrobium	s__Salimicrobium album	2712396
OAH54614.1	fla61	455	215	29332	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__Domibacillaceae	g__Domibacillus	s__Domibacillus aminovorans	3731130
ESU34160.1	fla62	455	215	977905	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-18226	g__Mesobacillus	s__Mesobacillus boroniphilus	4696869
KMY55506.1	fla63	329	89	1679168	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__Domibacillaceae	g__Pseudobacillus	s__Pseudobacillus wudalianchiensis	4332205
PLR73717.1	fla64	464	224	2066052	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-18226	g__Bacillus_AB	s__Bacillus_AB infantis	5204311
REB74253.1	fla65	432	192	1747	Actinobacteria	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	s__Cutibacterium acnes	2525162
WP_087615600.1	fla66	503	263	1748298	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Solibacillus	s__Solibacillus silvestris	3809180
WP_039042127.1	fla67	520	280	1582223	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Sporosarcina	s__Sporosarcina sp000813425	3534579
WP_048009857.1	fla68	413	173	1399	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-18226	g__Cytobacillus	s__Cytobacillus firmus	4803910
KZO00153.1	fla69	364	124	1455	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__Domibacillaceae	g__Pseudobacillus	s__Pseudobacillus badius	4059762
OVE49231.1	fla70	398	158	1455	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__Domibacillaceae	g__Pseudobacillus	s__Pseudobacillus badius	4059762
KIL78438.1	fla71	397	157	1455	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__Domibacillaceae	g__Pseudobacillus	s__Pseudobacillus badius	4059762
PTY75990.1	fla72	403	163	46224	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__Bacillaceae_C	g__Heyndrickxia	s__Heyndrickxia sporothermodurans	3414010
WP_061786546.1	fla73	395	155	86664	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_H	g__Priestia	s__Priestia flexa	3860945
WP_060678287.1	fla74	364	124	1482	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Amphibacillaceae	g__Virgibacillus	s__Virgibacillus halodenitrificans	3985684
EOR23183.1	fla75	510	270	1202533	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-18226	g__Niallia	s__Niallia sp900199695	4978389
WP_088567738.1	fla76	367	127	412384	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_H	g__Priestia	s__Priestia megaterium	3959600
WP_028407757.1	fla77	521	281	1286363	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_H	g__Priestia	s__Priestia megaterium	5193175
WP_077624765.1	fla78	379	139	1926277	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Amphibacillaceae	g__Sediminibacillus_A	s__Sediminibacillus_A massiliensis	4347501
AKG03897.1	fla79	406	166	1230341	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Halobacillaceae	g__Salimicrobium	s__Salimicrobium album	2712396
WP_093107244.1	fla80	408	168	50717	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Halobacillaceae	g__Salimicrobium	s__Salimicrobium album	2629725
WP_019721686.1	fla81	386	146	1398	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__Bacillaceae_C	g__Weizmannia	s__Weizmannia coagulans_A	3446692
SHF14783.1	fla82	383	143	1121088	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__Bacillaceae_C	g__Weizmannia	s__Weizmannia coagulans	3018045
PGK31169.1	fla83	379	139	1404	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_H	g__Priestia	s__Priestia megaterium	5888189
WP_062514727.1	fla84	408	168	1793726	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Halobacillaceae	g__Halobacillus	s__Halobacillus sp001592845	3683819
WP_035404798.1	fla85	387	147	1423321	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Metabacillus_B	s__Metabacillus_B sp000732485	4148080
OZT13038.1	fla86	409	169	412384	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_H	g__Priestia	s__Priestia megaterium	3959600
WP_014642653.1	fla87	401	161	1570	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Halobacillaceae	g__Halobacillus	s__Halobacillus halophilus	4173525
WP_095822055.1	fla88	396	156	2029857	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Halobacillaceae	g__Salimicrobium	s__Salimicrobium sp002295105	2622223
GAM11992.1	fla89	405	165	1321606	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-18226	g__Mesobacillus	s__Mesobacillus selenatarsenatis	4756255
WP_110928827.1	fla90	352	112	1816693	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-1321	g__Peribacillus	s__Peribacillus massiliglaciei	4145721
ALC82494.1	fla91	298	58	1441095	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus gobiensis	4597707
WP_017379004.1	fla92	411	171	1231057	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Paenisporosarcina	s__Paenisporosarcina antarctica	3825949
PEZ81159.1	fla93	421	181	2033488	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-1321	g__Peribacillus	s__Peribacillus simplex_D	5702307
PKF88263.1	fla94	409	169	2057910	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-1321	g__Peribacillus	s__Peribacillus sp002835675	5597764
WP_063233915.1	fla95	309	69	1478	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-1321	g__Peribacillus	s__Peribacillus frigoritolerans	6494937
WP_064467184.1	fla96	396	156	264697	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-1321	g__Peribacillus	s__Peribacillus muralis	5191302
SIR31558.1	fla97	407	167	1478	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-1321	g__Peribacillus	s__Peribacillus frigoritolerans	6494937
KWW20843.1	fla98	395	155	1478	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-1321	g__Peribacillus	s__Peribacillus frigoritolerans	6494937
WP_089361969.1	fla99	415	175	1882762	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-1321	g__Peribacillus	s__Peribacillus simplex_A	5293633
WP_090988699.1	fla100	414	174	1882764	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-1321	g__Peribacillus	s__Peribacillus sp900112495	4394362
WP_050179828.1	fla101	417	177	1071054	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__Domibacillaceae	g__Domibacillus	s__Domibacillus robiginosus	4689432
PWW29454.1	fla102	377	137	665099	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-18226	g__Cytobacillus	s__Cytobacillus oceanisediminis_A	5720001
WP_082804750.1	fla103	504	264	218284	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__Bacillaceae_B	g__Rossellomorea	s__Rossellomorea vietnamensis_A	4316249
KGX86801.1	fla104	532	292	1385511	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Halobacillaceae	g__Pontibacillus	s__Pontibacillus marinus	4222198
WP_093131179.1	fla105	403	163	237682	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Alkalibacillaceae	g__Salinibacillus	s__Salinibacillus kushneri	3488694
SFJ45569.1	fla106	474	234	240302	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Halobacillaceae	g__Halobacillus	s__Halobacillus dabanensis	4137344
ARF18213.1	fla107	472	232	1571	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Sporosarcina	s__Sporosarcina ureae_A	3412428
SMB82737.1	fla108	567	327	656914	Firmicutes	d__Bacteria	p__Firmicutes_B	c__Peptococcia	o__Peptococcales	f__Desulfonisporaceae	g__Desulfonispora	s__Desulfonispora thiosulfatigenes	2412168
WP_040956413.1	fla109	531	291	403957	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Amphibacillaceae	g__Oceanobacillus	s__Oceanobacillus caeni	3542510
KEZ52141.1	fla110	538	298	246786	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus_P	s__Bacillus_P indicus	4072175
PEU72469.1	fla111	578	338	1404	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_H	g__Priestia	s__Priestia megaterium	5888189
RHW39933.1	fla112	455	215	2304605	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Ureibacillus	s__Ureibacillus yapensis	3785739
WP_025749583.1	fla113	421	181	1404	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_H	g__Priestia	s__Priestia megaterium	5888189
RBP46775.1	fla114	493	253	218205	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Eubacteriales	f__Garciellaceae	g__Garciella	s__Garciella nitratireducens	2263229
PFL00570.1	fla115	472	232	1404	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_H	g__Priestia	s__Priestia megaterium	5888189
WP_068676429.1	fla116	476	236	1851204	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Amphibacillaceae	g__Oceanobacillus	s__Oceanobacillus sp001659985	3715758
WP_026577986.1	fla117	471	231	1071080	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Halobacillaceae	g__Halobacillus	s__Halobacillus sp001592845	3765941
WP_044395193.1	fla118	477	237	285983	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-18226	g__Mesobacillus	s__Mesobacillus subterraneus	4571170
WP_082824266.1	fla119	255	15	189381	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__Bacillaceae_B	g__Rossellomorea	s__Rossellomorea marisflavi_A	4345790
SFS85280.1	fla120	415	175	1761874	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__Paenibacillus sp900116105	5243123
WP_104058191.1	fla121	338	98	2082395	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__Jeotgalibacillaceae	g__Jeotgalibacillus	s__Jeotgalibacillus proteolyticus	4233077
KMY43057.1	fla122	295	55	1679169	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-1321	g__Pradoshia	s__Pradoshia sp001183965	4154233
PQD96235.1	fla123	381	141	2064768	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-1321	g__Pradoshia	s__Pradoshia eiseniae	3821617
KMY43055.1	fla124	393	153	1679169	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-1321	g__Pradoshia	s__Pradoshia sp001183965	4154233
WP_058386685.1	fla125	383	143	1374	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Planococcus	s__Planococcus kocurii	3485580
ANU15897.1	fla126	341	101	192421	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Planococcus	s__Planococcus dechangensis	3251644
WP_071154079.1	fla127	444	204	1598147	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Planococcus	s__Planococcus kocurii	3534771
ANU14797.1	fla128	376	136	1215089	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Planococcus	s__Planococcus halocryophilus	3424893
OED31638.1	fla129	348	108	192421	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Planococcus	s__Planococcus dechangensis	3251644
AIY04069.1	fla130	450	210	1526927	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Planococcus	s__Planococcus sp000785555	3199864
EGA88994.1	fla131	431	191	933115	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Planococcus	s__Planococcus donghaensis_B	3303464
WP_058382098.1	fla132	394	154	200991	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Planococcus	s__Planococcus rifietoensis	3505011
WP_053221273.1	fla133	350	110	1302659	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Planococcus	s__Planococcus versutus	3330075
CEG24360.1	fla134	372	132	1499687	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Planococcus	s__Planococcus massiliensis	3357017
