Accession	Domain	Phylum	Class	Order	Family	Genus	Species	logFC	logCPM	PValue	FDR	EnrichedIn
PUE16510.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Limnohabitans_A	s__Limnohabitans_A sp003063375	-1.6090314162073303	10.563820221667616	2.8005744323384047e-26	1.5771234874682845e-24	Environmental
CCF11937.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Pantoea	s__Pantoea ananatis	-1.4444786946173895	10.728774058411911	3.853989803298782e-26	2.1100594173060833e-24	Environmental
WP_013967495.1	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae_B	g__Treponema_G	s__Treponema_G caldarium_A	-1.7970520418079157	10.712407193247346	4.669404515809254e-26	2.4874044055837946e-24	Environmental
WP_108947165.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Shewanellaceae	g__Shewanella	s__Shewanella fidelis	-1.7642911125039766	10.53579566783274	5.697339330129145e-26	2.955119952548565e-24	Environmental
PIT74785.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Limnohabitans_A	s__Limnohabitans_A sp002778275	-1.7396735796619316	10.52612900249255	6.535280303932026e-26	3.2352787651785017e-24	Environmental
RCS51109.1	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Pirellulales	f__Pirellulaceae	g__Bremerella	s__Bremerella marina_A	-1.431947224122187	10.536539632298	6.565761065811267e-26	3.2352787651785017e-24	Environmental
OQW49893.1	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__SG-bin7	g__SG-bin7	s__SG-bin7 sp002083485	-1.316618207925097	10.471573717780622	1.1440965591446004e-25	5.5000349221317254e-24	Environmental
EEO87047.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Yersinia	s__Yersinia pestis	-1.7164936225310077	11.214910603331903	1.5046720910515632e-25	7.061211170149121e-24	Environmental
WP_076918285.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Pseudoalteromonas	s__Pseudoalteromonas sp001974855	-1.711095258701377	10.52482949144372	2.3061003573365135e-25	1.0570520475140158e-23	Environmental
OHD66635.1	d__Bacteria	p__Spirochaetota	c__UBA4802	o__UBA4802	f__UBA5550	g__RBG-16-49-21	s__RBG-16-49-21 sp001829455	-1.6094642835685091	10.549651847537145	3.505820815311059e-24	1.5704483697677494e-22	Environmental
SFR42095.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Oleiphilaceae	g__Marinobacter	s__Marinobacter gudaonensis	-1.2741771673649755	10.48212044199939	3.822098743917902e-24	1.674079249836041e-22	Environmental
ABJ81339.1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Solibacter	s__Solibacter usitatus	-1.5417621673907504	10.532880246554152	4.600105361646973e-24	1.9710451451752574e-22	Environmental
RHP37040.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__Acetatifactor sp900066565	3.550167850368224	12.297964892318783	8.86865157607274e-24	3.719172820519015e-22	Host-associated
WP_066854468.1	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Halodesulfovibrio	s__Halodesulfovibrio spirochaetisodalis	-1.3894645277792446	10.554662440307844	9.674227503588775e-24	3.9724796686611404e-22	Environmental
CUJ85379.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Achromobacter	s__Achromobacter xylosoxidans	-1.4802047330722843	11.134067208720706	2.7211061911613564e-23	1.0945510821998027e-21	Environmental
WP_116468843.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__Sphingomonas pokkalii	-1.3895399788761615	10.597026337626563	3.142689207749031e-23	1.2388480856946682e-21	Environmental
PKL07545.1	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__UBA12059	g__SZUA-370	s__SZUA-370 sp002839245	-1.9112838496894506	10.991369397461343	4.263300199925743e-23	1.647640136088949e-21	Environmental
CBK42052.1	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira_A	s__Nitrospira_A sp001567445	-1.3620893467677064	10.438116036084224	4.360898451314299e-23	1.6529482399116313e-21	Environmental
WP_083559272.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Nevskiales	f__Oceanococcaceae	g__Oceanococcus	s__Oceanococcus atlanticus	-1.2028612415690447	10.442059334609443	5.815952435554831e-23	2.162875896316712e-21	Environmental
ESQ92388.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Asticcacaulis	s__Asticcacaulis benevestitus	-1.39838287792368	10.582296636079992	6.879577683149511e-23	2.5110458543495713e-21	Environmental
WP_029284726.1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus_P	s__Bacillus_P indicus	-1.2757661961053084	10.4832344704928	1.7928912472877163e-22	6.425070269825616e-21	Environmental
EIL92230.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Rhodanobacteraceae	g__Rhodanobacter	s__Rhodanobacter fulvus	-1.2458456175593453	10.506137847126402	1.9411101287742394e-22	6.832014399667903e-21	Environmental
WP_056638471.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__Sphingomonas sp001421995	-1.297002994946373	10.55370723919416	2.155090525071789e-22	7.45207618406403e-21	Environmental
PKL24675.1	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__UBA12059	g__SZUA-370	s__SZUA-370 sp002839315	-1.5729714773140893	10.532959617330437	2.923585013708035e-22	9.935148382790581e-21	Environmental
SFF58521.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Aureimonas	s__Aureimonas phyllosphaerae	-1.2596477562855082	10.53342042234068	2.9946734067104564e-22	1.000423946546832e-20	Environmental
AAA62844.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E hunanensis	-1.338866187768192	10.640363580871721	7.02306940691388e-22	2.3070783001712097e-20	Environmental
WP_068614852.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Woeseiales	f__Woeseiaceae	g__Woeseia	s__Woeseia oceani	-1.4748012145455025	10.446626851226455	7.424932036738907e-22	2.399105089247932e-20	Environmental
SDS43141.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Propionibacteriales	f__Nocardioidaceae	g__Marmoricola	s__Marmoricola scoriae	-1.561493948305033	10.636189171964338	1.7303185085060603e-21	5.500738355266846e-20	Environmental
ASD65009.1	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Bdellovibrio	s__Bdellovibrio bacteriovorus	-1.1980341685928821	10.43783551623992	1.1834955258155984e-20	3.7026502879088005e-19	Environmental
AXV05889.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Euzebyales	f__Euzebyaceae	g__Euzebya	s__Euzebya sp003344865	-1.2186981363663343	10.604142465348119	1.2555964348979797e-20	3.866844645599872e-19	Environmental
KKB09915.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Devosiaceae	g__Devosia	s__Devosia chinhatensis	-1.4341999873548292	10.500416514631512	1.4818014212716332e-20	4.493277848194445e-19	Environmental
CRZ75738.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Vibrio	s__Vibrio cholerae	-1.5134108431393534	10.475381627820472	1.6172743264822087e-20	4.82976923863096e-19	Environmental
OGJ99634.1	d__Bacteria	p__Fibrobacterota	c__OXYB2-FULL-49-7	o__OXYB2-FULL-49-7	f__XYB2-FULL-49-35	g__XYB2-FULL-49-35	s__XYB2-FULL-49-35 sp001789205	-1.2318076095081865	10.39581614348846	3.040268576894014e-20	8.943834873221047e-19	Environmental
WP_090130095.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Limnohabitans_A	s__Limnohabitans_A sp001269365	-1.328250665765095	10.455225478426634	5.51227514431568e-20	1.5977491631538536e-18	Environmental
ORC31882.1	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__JC444	f__Marispirochaetaceae	g__Marispirochaeta	s__Marispirochaeta aestuarii	-1.4682612304555882	10.461983688196305	8.89162424692025e-20	2.5399117957506976e-18	Environmental
RBY75374.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Geodermatophilaceae	g__Blastococcus	s__Blastococcus sp003319105	-1.1322620820847036	10.519659981511982	1.1528294710208755e-19	3.2460384105459224e-18	Environmental
WP_110813485.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Pseudoroseicyclus	s__Pseudoroseicyclus aestuarii	-1.3382933205193945	10.448952174781253	1.1722822873570215e-19	3.2543216737756193e-18	Environmental
ARQ75400.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E fragi	-1.3380063365615829	10.471755492622753	2.0176153181860013e-19	5.5232219335341786e-18	Environmental
PEH88058.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Comamonas	s__Comamonas aquatica	-1.5345004733281622	10.592292150299828	2.316334882419464e-19	6.254104182532553e-18	Environmental
WP_081754523.1	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Arcobacteraceae	g__Aliarcobacter	s__Aliarcobacter faecis	-1.18670068941159	10.692260816287959	3.1957857910420774e-19	8.512018640735047e-18	Environmental
WP_026588933.1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus sonorensis_A	-1.3802405121657086	10.442237486958613	3.5638345187103366e-19	9.365757115170766e-18	Environmental
CUI90507.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Achromobacter	s__Achromobacter ruhlandii	-1.616159994081175	11.628946972580218	3.7843495954348293e-19	9.814411911318486e-18	Environmental
WP_079478177.1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Halobacillaceae	g__Halobacillus	s__Halobacillus salinus	-1.277640167278882	10.42591149610081	4.1906955034882913e-19	1.0727091996591458e-17	Environmental
WP_103317800.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Chromobacteriaceae	g__Chromobacterium	s__Chromobacterium amazonense	-1.168987154672904	10.5423749702345	6.721163635657727e-19	1.6879556985576296e-17	Environmental
WP_074033689.1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Exiguobacterales	f__Exiguobacteraceae	g__Exiguobacterium	s__Exiguobacterium profundum_A	-1.4530708418688965	10.452880183710782	6.765525123594761e-19	1.6879556985576296e-17	Environmental
SEH28796.1	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Selenomonas_A	s__Selenomonas_A ruminantium_B	-1.0676156722093184	10.52092086883721	7.901494489034219e-19	1.9467307047358056e-17	Environmental
AAW75835.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Xanthomonas	s__Xanthomonas oryzae	-1.0907428455968191	10.47274163445316	1.1873362579849308e-18	2.8891848944299984e-17	Environmental
WP_113269453.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Halomonadaceae	g__Halomonas	s__Halomonas sulfidaeris	-1.1503450605545242	10.457002347245485	1.324670684301414e-18	3.1840559984854716e-17	Environmental
AEF84042.1	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae_B	g__Treponema_E	s__Treponema_E primitia	-1.284151549010134	10.474668698154515	5.485716679982327e-18	1.3026924790656827e-16	Environmental
SIO27575.1	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Halodesulfovibrio	s__Halodesulfovibrio marinisediminis	-1.2165892263623999	10.435608846410345	5.5865897083368336e-18	1.3108533708490356e-16	Environmental
OFW99586.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Parvularculaceae	g__CV81	s__CV81 sp001767925	-1.3421036922983562	10.419758340128126	7.311331212710537e-18	1.6953686847355845e-16	Environmental
WP_077611709.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lacrimispora	s__Lacrimispora sp900155545	-1.2300690569135226	10.487774534474593	1.197925926491389e-17	2.7454790710634044e-16	Environmental
ODT06014.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Aminobacter	s__Aminobacter sp001724355	-1.210606252144492	10.469531774323942	2.1700636359053336e-17	4.916316582033808e-16	Environmental
RED32195.1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__Paenibacillus cellulositrophicus_A	2.3955553499808615	11.302010716340046	2.4174908248714933e-17	5.41463001797922e-16	Host-associated
AMJ97557.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Alteromonas	s__Alteromonas macleodii	-1.3282348455966217	10.418707940913594	2.821853397353282e-17	6.249295557509347e-16	Environmental
WP_035942301.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Caballeronia	s__Caballeronia glathei	-1.0688729637785612	10.507265348287444	2.8943115693965075e-17	6.338542336978352e-16	Environmental
SDI60355.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Duganella	s__Duganella sp900100205	-1.046635934035317	10.540202054804036	6.80747367434861e-17	1.4744539134221001e-15	Environmental
WP_080456401.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Roseovarius	s__Roseovarius sp002072155	-1.3194862461199097	10.41080667749106	7.536807246940507e-17	1.6146790308391023e-15	Environmental
OJY50608.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__Sphingomonas leidyi	-1.1278568052264717	10.673112086032683	7.908393718465001e-17	1.6760692493650019e-15	Environmental
SON56227.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Pleomorphomonadaceae	g__Hartmannibacter	s__Hartmannibacter diazotrophicus	-1.0699271299311364	10.429504475447846	9.505052422959809e-17	1.99302748145253e-15	Environmental
KPP83520.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Aquicoccus	s__Aquicoccus sp001314705	-1.0287573574539604	10.376302509008394	1.2740584681626397e-16	2.643336042893224e-15	Environmental
WP_054447314.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Achromobacter	s__Achromobacter xylosoxidans	-1.4248251229105213	11.632754202545836	1.4426469473156005e-16	2.9562040714823965e-15	Environmental
STY26135.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella_C	s__Legionella_C taurinensis	-1.1898386829156729	10.46298891113328	1.4548543629314688e-16	2.9562040714823965e-15	Environmental
CDA67770.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-510	s__CAG-510 sp000434615	2.2926358260972597	11.199854398304863	1.5673235718718835e-16	3.1522395511831452e-15	Host-associated
PIQ99844.1	d__Bacteria	p__Nitrospinota	c__Nitrospinia	o__Nitrospinales	f__Nitrospinaceae	g__1-14-0-20-45-15	s__1-14-0-20-45-15 sp002787235	-1.2169077416889729	10.392191848375758	1.750707999812135e-16	3.485500472353251e-15	Environmental
WP_062107486.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Gluconobacter	s__Gluconobacter albidus	-1.070867625514373	10.401952966643025	1.87295610556364e-16	3.691596484065934e-15	Environmental
DAB16588.1	d__Bacteria	p__Cyanobacteria	c__Vampirovibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__CAG-196	s__CAG-196 sp002102975	-1.1462247463424597	10.561028029672284	2.1445038137334663e-16	4.184967343434319e-15	Environmental
WP_029592335.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Franconibacter	s__Franconibacter pulveris	-1.1388381306859707	10.497963613844904	2.5944480461755614e-16	5.013389312756894e-15	Environmental
WP_050351719.1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Amphibacillaceae	g__Virgibacillus	s__Virgibacillus pantothenticus	-1.108547000735114	10.454956406334414	2.741910847076207e-16	5.246899300570101e-15	Environmental
WP_069047637.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Hydrogenophaga	s__Hydrogenophaga sp001713375	-1.1696059056727495	10.445261600738661	4.446233957389627e-16	8.426468394245148e-15	Environmental
OXB92966.1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Anoxybacillaceae	g__Parageobacillus	s__Parageobacillus toebii	-1.1406175376113468	10.41667295249506	4.862566941528235e-16	9.127732801668716e-15	Environmental
SUW00762.1	d__Bacteria	p__Spirochaetota	c__Brachyspirae	o__Brachyspirales	f__Brachyspiraceae	g__Brachyspira	s__Brachyspira pilosicoli	-1.266284087059408	10.578905081748342	5.310588989637711e-16	9.874689526958423e-15	Environmental
