Accession	Domain	Phylum	Class	Order	Family	Genus	Species	logFC	logCPM	PValue	FDR	EnrichedIn
WP_083559272.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Nevskiales	f__Oceanococcaceae	g__Oceanococcus	s__Oceanococcus atlanticus	1.2643108137135537	10.438620357809416	1.2262077662018249e-20	5.0325610404533225e-19	Environmental
CDA67770.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-510	s__CAG-510 sp000434615	-2.706734547232111	11.344819144750282	2.1729395377057833e-20	8.736103855674272e-19	Animals
WP_103317800.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Chromobacteriaceae	g__Chromobacterium	s__Chromobacterium amazonense	1.353374256627352	10.51209592838755	5.2753182586017994e-20	2.0265662089904002e-18	Environmental
PIT74785.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Limnohabitans_A	s__Limnohabitans_A sp002778275	1.743110374017311	10.562624891605644	5.301609627384471e-20	2.0265662089904002e-18	Environmental
WP_108947165.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Shewanellaceae	g__Shewanella	s__Shewanella fidelis	1.7714883450715968	10.572734760824355	5.34931182068532e-20	2.0265662089904002e-18	Environmental
AAA62844.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E hunanensis	1.430488339338484	10.642084233654748	1.1972045238221305e-19	4.449986626282259e-18	Environmental
WP_076918285.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Pseudoalteromonas	s__Pseudoalteromonas sp001974855	1.716421619129281	10.55931311984301	1.2864832435260967e-19	4.6932814624933526e-18	Environmental
WP_056638471.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__Sphingomonas sp001421995	1.3475599102814597	10.559617566692035	2.328584715067645e-19	8.340567070333201e-18	Environmental
ESQ92388.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Asticcacaulis	s__Asticcacaulis benevestitus	1.4475281790021193	10.594834856570078	3.49288923091253e-19	1.2287485330174436e-17	Environmental
CBK42052.1	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira_A	s__Nitrospira_A sp001567445	1.378029560263125	10.45059562046284	6.723564942662358e-19	2.3237584100078677e-17	Environmental
WP_043131923.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas caviae	1.599459829391307	11.270687438990938	8.231899867397875e-19	2.796007368754106e-17	Environmental
RBY75374.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Geodermatophilaceae	g__Blastococcus	s__Blastococcus sp003319105	1.234119456619571	10.503869178420056	1.1568596366699996e-18	3.8627347190506763e-17	Environmental
EGC94816.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia fergusonii	-2.572081702421943	11.24432627654995	1.1901131364189614e-18	3.907538131242257e-17	Animals
WP_029284726.1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus_P	s__Bacillus_P indicus	1.2928636508706794	10.493421703821955	1.402840373488123e-18	4.530484484871479e-17	Environmental
CUJ85379.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Achromobacter	s__Achromobacter xylosoxidans	1.4981880922137183	11.174822960753405	2.505676482105983e-18	7.96158495120772e-17	Environmental
ASD65009.1	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Bdellovibrio	s__Bdellovibrio bacteriovorus	1.2414365265781706	10.433731492179195	3.2954406583046183e-18	1.0304790629936663e-16	Environmental
WP_072280274.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia flexneri	-2.4116527848945992	11.177917591509605	5.478866862041718e-18	1.6864637059722162e-16	Animals
AXV05889.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Euzebyales	f__Euzebyaceae	g__Euzebya	s__Euzebya sp003344865	1.278903583605734	10.6047004844007	5.6536069591869585e-18	1.7134778014766628e-16	Environmental
WP_056669752.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Rhizobacter	s__Rhizobacter sp001425785	1.2547515524566093	10.42096373466587	7.496590260823911e-18	2.237618608155016e-16	Environmental
OHD66635.1	d__Bacteria	p__Spirochaetota	c__UBA4802	o__UBA4802	f__UBA5550	g__RBG-16-49-21	s__RBG-16-49-21 sp001829455	1.5528773891624068	10.592417079457336	1.2214598748421275e-17	3.5914566469238677e-16	Environmental
WP_090130095.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Limnohabitans_A	s__Limnohabitans_A sp001269365	1.391180215756693	10.457797117340164	1.4693830641044826e-17	4.256889171008574e-16	Environmental
WP_013967495.1	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae_B	g__Treponema_G	s__Treponema_G caldarium_A	1.6746469413426956	10.785829000490182	1.9584001123046728e-17	5.591374233681458e-16	Environmental
WP_116468843.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__Sphingomonas pokkalii	1.3494634269519332	10.625933811613592	2.0075693604598735e-17	5.64987377157993e-16	Environmental
WP_068614852.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Woeseiales	f__Woeseiaceae	g__Woeseia	s__Woeseia oceani	1.47806573364104	10.467067044115392	3.367235994201205e-17	9.342894237431513e-16	Environmental
CDD46301.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-95	s__CAG-95 sp000436115	-2.407768678523964	11.32615582138553	4.036883653541267e-17	1.1045362218717077e-15	Animals
WP_035942301.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Caballeronia	s__Caballeronia glathei	1.1882358315736539	10.484455257998798	5.59686012027349e-17	1.5103855393066815e-15	Environmental
OJY50608.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__Sphingomonas leidyi	1.2721740547242277	10.65075416063127	6.186792486420728e-17	1.6470244862498425e-15	Environmental
AAW75835.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Xanthomonas	s__Xanthomonas oryzae	1.150452484554536	10.463736182026494	8.298930937696076e-17	2.1798525263015026e-15	Environmental
WP_110813485.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Pseudoroseicyclus	s__Pseudoroseicyclus aestuarii	1.3883770289138988	10.454085989342875	8.827566951338486e-17	2.2881982755443183e-15	Environmental
SIN73647.1	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Halodesulfovibrio	s__Halodesulfovibrio marinisediminis	1.2725360807891861	10.437605308435563	9.426654291975232e-17	2.4117544097650916e-15	Environmental
SDI60355.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Duganella	s__Duganella sp900100205	1.1671878281576007	10.516174999320969	1.1390792052318568e-16	2.876905172188151e-15	Environmental
PKL24675.1	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__UBA12059	g__SZUA-370	s__SZUA-370 sp002839315	1.5338331474562794	10.57027029114251	1.45264085105243e-16	3.622408198194035e-15	Environmental
OGJ99634.1	d__Bacteria	p__Fibrobacterota	c__OXYB2-FULL-49-7	o__OXYB2-FULL-49-7	f__XYB2-FULL-49-35	g__XYB2-FULL-49-35	s__XYB2-FULL-49-35 sp001789205	1.2293426674046464	10.4044731740535	2.0014251731152853e-16	4.92850948879639e-15	Environmental
WP_113269453.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Halomonadaceae	g__Halomonas	s__Halomonas sulfidaeris	1.1988365159443521	10.452191218621875	2.5624778593670885e-16	6.232199238213783e-15	Environmental
KKB09915.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Devosiaceae	g__Devosia	s__Devosia chinhatensis	1.4377937001069379	10.521112492625507	2.8664838912942886e-16	6.8865527632314e-15	Environmental
EEO87047.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Yersinia	s__Yersinia pestis	1.541822410251552	11.322494069471817	3.613535511753359e-16	8.576704768860381e-15	Environmental
CDC79573.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli	-2.1270162574426776	10.98790330564484	3.692989991056757e-16	8.660940812359299e-15	Animals
WP_079478177.1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Halobacillaceae	g__Halobacillus	s__Halobacillus salinus	1.3059350970712544	10.430908549387468	3.762707606705154e-16	8.720628217893122e-15	Environmental
SEK95452.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Pseudobutyrivibrio	s__Pseudobutyrivibrio sp900112855	-1.9278492525160686	10.859064095424804	4.79620480874785e-16	1.098665520143403e-14	Animals
ARQ75400.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E fragi	1.3579612136346877	10.483211543111736	5.625459792262543e-16	1.2738110104318632e-14	Environmental
CRZ75738.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Vibrio	s__Vibrio cholerae	1.491557678285897	10.503181974012383	1.0853004813668733e-15	2.4295931230599323e-14	Environmental
ORC31882.1	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__JC444	f__Marispirochaetaceae	g__Marispirochaeta	s__Marispirochaeta aestuarii	1.4570578465548976	10.485810344977619	1.909759527089342e-15	4.2272205262539365e-14	Environmental
WP_077611709.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lacrimispora	s__Lacrimispora sp900155545	1.2904412592553196	10.486594639122599	2.5265908998255187e-15	5.530426747395858e-14	Environmental
WP_026588933.1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus sonorensis_A	1.3816699292271442	10.457175170752688	2.8212387246827634e-15	6.107516799587961e-14	Environmental
CUI90507.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Achromobacter	s__Achromobacter ruhlandii	1.6338300427338683	11.690013101016886	2.939963260276789e-15	6.295356111679647e-14	Environmental
ODT06014.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Aminobacter	s__Aminobacter sp001724355	1.2645925902042272	10.468318840493716	3.5407774885229175e-15	7.454125638607603e-14	Environmental
SEH28796.1	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Selenomonas_A	s__Selenomonas_A ruminantium_B	1.0444651838546635	10.531386743579546	3.556790913853374e-15	7.454125638607603e-14	Environmental
KQQ39766.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides sp001423135	1.2338417182084294	10.448349894809937	4.7816913393924355e-15	9.915717830108524e-14	Environmental
SON56227.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Pleomorphomonadaceae	g__Hartmannibacter	s__Hartmannibacter diazotrophicus	1.1206914885256292	10.419717982201686	5.45639811046666e-15	1.1196983622520124e-13	Environmental
OZY60706.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E lundensis	-2.257336048686668	11.211913129268046	7.729103725504698e-15	1.5697251896128096e-13	Animals
WP_074033689.1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Exiguobacterales	f__Exiguobacteraceae	g__Exiguobacterium	s__Exiguobacterium profundum_A	1.4442468141349987	10.474500587646402	1.214584349423626e-14	2.441562416698514e-13	Environmental
WP_062107486.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Gluconobacter	s__Gluconobacter albidus	1.1092083436389608	10.39627877232457	1.2490231753544224e-14	2.4854299549981943e-13	Environmental
SIO27575.1	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Halodesulfovibrio	s__Halodesulfovibrio marinisediminis	1.218793199031305	10.445121595217644	1.3124727411175285e-14	2.5855713000015314e-13	Environmental
RHU62160.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__Acetatifactor sp900066565	-1.9523583517757297	10.956750262014245	1.4071563499351409e-14	2.744651494427948e-13	Animals
AEF84042.1	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae_B	g__Treponema_E	s__Treponema_E primitia	1.2830740779371321	10.488606833291684	2.1576509411073293e-14	4.1672277980210183e-13	Environmental
AVX04062.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Devosiaceae	g__Maritalea	s__Maritalea myrionectae	1.1301739103997845	10.400818441161071	2.4634957625415863e-14	4.643160484568333e-13	Environmental
RHV45029.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-95	s__CAG-95 sp900066375	-1.7801876017625524	10.79665615964019	2.463859033672369e-14	4.643160484568333e-13	Animals
OFW99586.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Parvularculaceae	g__CV81	s__CV81 sp001767925	1.348258421996704	10.432788065672119	2.47478096893236e-14	4.643160484568333e-13	Environmental
SDA41978.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Butyrivibrio	s__Butyrivibrio sp900103635	-1.9167883797409655	10.862551737048705	2.6420831915883463e-14	4.910286686253814e-13	Animals
DAB16588.1	d__Bacteria	p__Cyanobacteria	c__Vampirovibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__CAG-196	s__CAG-196 sp002102975	1.2024031637289807	10.558349094703077	2.8732235990276635e-14	5.289953729050932e-13	Environmental
