Accession	Domain	Phylum	Class	Order	Family	Genus	Species	logFC	logCPM	PValue	FDR	EnrichedIn
WP_048227963.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Bradyrhizobium	s__Bradyrhizobium japonicum	1.1963338778890578	10.79924189153655	9.114503675025142e-15	7.691031297187046e-13	Plants
ESQ90688.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Asticcacaulis	s__Asticcacaulis benevestitus	1.3221806180604843	10.53804063931644	9.374542972701326e-15	7.691031297187046e-13	Plants
WP_022931566.1	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae	g__Treponema_D	s__Treponema_D bryantii_C	-2.243520080579117	11.297609626198179	5.881611621802336e-14	4.63235731333152e-12	Animals
EGC94816.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia fergusonii	-2.5108841426880284	11.470986930619002	1.0779810367383923e-13	7.884922439068113e-12	Animals
EIC00583.1	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae	g__Treponema_D	s__Treponema_D saccharophilum	-2.171938514240377	11.275652506341768	1.08122349342224e-13	7.884922439068113e-12	Animals
WP_072280274.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia flexneri	-2.4020026447221996	11.398808581953503	1.1323408332564469e-13	7.962782502435513e-12	Animals
ATC85726.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Pseudoalteromonas	s__Pseudoalteromonas arctica	1.1252805137577142	10.486906743985703	2.1109776423344447e-13	1.4332810268125937e-11	Plants
WP_027535968.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Bradyrhizobium	s__Bradyrhizobium sp000473045	1.0699977371273353	10.478322943446052	1.696611924885263e-12	1.1135429600330278e-10	Plants
OZY60706.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E lundensis	-2.3842420489679172	11.422305696911907	3.3717591879637928e-12	2.1416109164840993e-10	Animals
CDC79573.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli	-2.0911898678780085	11.203230949589068	3.948165124632792e-12	2.429355353250615e-10	Animals
WP_073468939.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Rhizobacter	s__Rhizobacter sp900142965	1.0386617255804802	10.499956459770166	6.703683922490577e-12	3.9998647404193775e-10	Plants
SEK95452.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Pseudobutyrivibrio	s__Pseudobutyrivibrio sp900112855	-1.8648334918606533	11.071259204326795	7.1111113358009144e-12	4.118170064762353e-10	Animals
ACE89738.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Rhizobium	s__Rhizobium phaseoli	1.0606372050747102	10.473153998336256	8.377504198618602e-12	4.712944504880008e-10	Plants
RHU62160.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__Acetatifactor sp900066565	-2.0048736867056958	11.163864174172895	1.0561929582851558e-11	5.776788707954089e-10	Animals
RHL02157.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__Agathobacter rectalis	-2.02756056532886	11.187571400800499	2.5346045081772122e-11	1.348820615297549e-9	Animals
WP_022765818.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Butyrivibrio	s__Butyrivibrio sp000420865	-1.830082995052831	11.051918271421624	3.9437561952688064e-11	2.043488407495863e-9	Animals
RHV45029.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-95	s__CAG-95 sp900066375	-1.7431525326942237	11.003666942921205	7.113401065242662e-11	3.5913555634520004e-9	Animals
WP_045828533.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Rhodanobacteraceae	g__Luteibacter	s__Luteibacter yeojuensis_B	1.2416593577448654	10.519538468768317	8.827890211759796e-11	4.345528956738759e-9	Plants
WP_057742869.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Bradyrhizobium	s__Bradyrhizobium manausense	0.981052858439783	10.466461472210602	9.833998783041274e-11	4.722717952148358e-9	Plants
SDA41978.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Butyrivibrio	s__Butyrivibrio sp900103635	-1.869044550893812	11.074172741177776	1.0859747221989621e-10	5.091152923832753e-9	Animals
CAI29258.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia flexneri	-2.006834009734416	11.175192671706482	1.3968924302611915e-10	6.396467895777409e-9	Animals
ORT77667.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter gillenii	-1.7401918233689255	11.001094667487509	1.4552282272111444e-10	6.512146316769871e-9	Animals
WP_083051574.1	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__JC444	f__Marispirochaetaceae	g__Marispirochaeta	s__Marispirochaeta aestuarii	-1.7137317135402805	10.987431008173017	1.712482883119221e-10	7.493063993026102e-9	Animals
KQQ39766.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides sp001423135	0.9550097260285885	10.494990722933565	1.8594939447965408e-10	7.959442559357366e-9	Plants
WP_110755513.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Agrobacterium	s__Agrobacterium rhizogenes_A	0.9798180890479123	10.463145108003115	2.012177478278294e-10	8.429739265382896e-9	Plants
ONG15595.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia flexneri	-1.763085144549328	11.013797436784936	2.4174497693875535e-10	9.916580408175194e-9	Animals
ORD61593.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia flexneri	-1.6792516619673072	10.97855776325189	3.15195281365034e-10	1.2665704265464325e-8	Animals
AIU73238.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Hafnia	s__Hafnia alvei	-1.846054038307014	11.060380362769834	7.1289057217958e-10	2.8073630732431863e-8	Animals
KQW40429.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Rhizobacter	s__Rhizobacter sp001425865	0.9430415993634187	10.452659798118999	1.438613893248557e-9	5.554177952561586e-8	Plants
SOC83494.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Ensifer	s__Ensifer adhaerens	0.9683990496674497	10.454617154766531	1.9596172142579553e-9	7.420165951680603e-8	Plants
WP_053156569.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E sp001269805	-1.8119658062521173	11.07220629261569	2.598819748410983e-9	9.654860537021181e-8	Animals
WP_082564463.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__Caulobacter rhizosphaerae	0.9055467945431304	10.442339445737254	4.267641571377038e-9	1.55610856556322e-7	Plants
WP_117730004.1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus pumilus	-1.5184548305447332	10.943802274053336	4.958078056070047e-9	1.7749919440730766e-7	Animals
WP_089930945.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__Caulobacter sp900114015	0.914448211969984	10.444041068592231	6.39286393736173e-9	2.2477167258935782e-7	Plants
RGZ11631.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__Agathobacter rectalis	-1.6003033939959619	10.927083843162942	6.5068488255933956e-09	2.2477167258935782e-7	Animals
KQT19785.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Methylobacterium	s__Methylobacterium sp001423265	0.9428028187995501	10.625513516943228	7.65727489358672e-9	2.5995128043917677e-7	Plants
WP_071836315.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Pararhizobium	s__Pararhizobium antarcticum	0.8894392284907733	10.442516964470714	9.762741956650037e-9	3.2581082902786306e-7	Plants
RHS28946.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__RUG115	s__RUG115 sp900066395	-1.2835145275811908	10.770553189534905	1.1578612045263868e-8	3.79971451952076e-7	Animals
WP_092947737.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Roseateles	s__Roseateles sp900109745	0.9181297482190228	10.48153916560303	1.1799650181379732e-8	3.808772329038802e-7	Plants
WP_032333159.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia flexneri	-1.6593889579520988	10.978314180527944	1.2347185436348969e-8	3.8502602867383916e-7	Animals
SQQ85962.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia flexneri	-1.6962906433133789	11.077595640064324	1.2396982804486963e-8	3.8502602867383916e-7	Animals
WP_031391060.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Kineothrix	s__Kineothrix alysoides	-1.470581176817657	10.87116192247215	1.2639608972492242e-8	3.8502602867383916e-7	Animals
ACY40759.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Rhizobium	s__Rhizobium ruizarguesonis	0.9053684011314191	10.442331437223428	1.271035645698301e-8	3.8502602867383916e-7	Plants
RHD89545.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__Agathobacter rectalis	-1.5366065220709506	10.894417271262823	1.4485489083202886e-8	4.321504243155527e-7	Animals
EKI27927.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli	-1.5841086967532227	10.918537438888885	1.594138539954736e-8	4.684863858463993e-7	Animals
CAL78604.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Bradyrhizobium	s__Bradyrhizobium sp000026145	0.9186471141293854	10.451148841759464	2.1166254586941105e-8	6.128875776718682e-7	Plants
WP_102019154.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Allorhizobium	s__Allorhizobium sp002855515	0.9006212904995948	10.44767633213437	3.537009015605069e-8	1.0093290944530986e-6	Plants
EFW38744.1	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae	g__Treponema	s__Treponema phagedenis	-1.3102425827890398	10.811202787638708	4.679739062213234e-8	1.3142107836915769e-6	Animals
OWG58734.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia flexneri	-1.4542701295117728	10.871930308758953	4.7389012515034e-8	1.3142107836915769e-6	Animals
WP_027218215.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Butyrivibrio	s__Butyrivibrio fibrisolvens_C	-1.2855923174017165	10.771747304999414	6.067924239969212e-8	1.6594087261804693e-6	Animals
EEJ52905.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Mobiluncus	s__Mobiluncus mulieris	0.9379856742609661	11.007384640340586	6.577348495360134e-8	1.7740820804608362e-6	Plants
SAH79924.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli	-1.3555549009386354	10.823472102130607	8.503304561345373e-8	2.2625684704444648e-06	Animals
OUP02704.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Hydrogeniiclostridium	s__Hydrogeniiclostridium sp002160025	-1.3975108554237798	10.825476398778564	8.88281736959934e-8	2.332035653432147e-6	Animals
WP_026671011.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Butyrivibrio	s__Butyrivibrio sp000424285	-1.2257857083625474	10.744047151230605	1.348179396939314e-7	3.492848990228302e-6	Animals
WP_061535818.1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_G	g__Bacillus_A	s__Bacillus_A bombysepticus	-1.095705407166805	10.82900340101767	1.9385653393983723e-7	4.957188510747267e-6	Animals
KQY29870.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__Caulobacter sp001426905	0.8018169259016037	10.423188022444686	1.9818226274386258e-7	5.002831735162377e-6	Plants
WP_102061991.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E marginalis_B	-1.4588843253655668	10.902631019302767	2.1609771945833664e-7	5.386030501436264e-6	Animals
EID85528.1	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae	g__Treponema_D	s__Treponema_D sp000260795	-1.2163059385756578	10.739789467422268	2.725501092032435e-7	6.64925572214704e-6	Animals
WP_107631884.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Butyricicoccaceae	g__Agathobaculum	s__Agathobaculum sp900291975	-1.3162852352065957	10.786530545393534	2.7353464372468777e-7	6.64925572214704e-6	Animals
KJZ50119.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas aeruginosa	0.9543468413694214	10.498143151270293	2.9333330532422766e-7	7.043576563212247e-6	Plants
WP_095025525.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E fragi	-1.4005598567593907	10.835626426765318	3.306589341897199e-7	7.8441860411995e-6	Animals
WP_026488696.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Butyrivibrio	s__Butyrivibrio sp900102515	-1.2457874549293801	10.753542957095389	3.3557039962889327e-7	7.865929962729653e-6	Animals
WP_026521621.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Butyrivibrio	s__Butyrivibrio sp000421405	-1.1856288051708102	10.743998308688637	3.663292289568917e-7	8.485908844895527e-6	Animals
RHQ75621.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__Acetatifactor sp900066365	-1.1864734836125626	10.735445720843579	4.330081874850199e-7	9.913873501837258e-6	Animals
OXS66415.1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Lysinibacillus	s__Lysinibacillus sp002237755	-1.5004193162784984	12.0977780963845	4.472989503869268e-7	1.0123352107032861e-5	Animals
WP_024253499.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia flexneri	-1.3122539208525363	10.81167681242549	5.031534997759972e-7	1.1258059557487937e-5	Animals
PJI45011.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Agrobacterium	s__Agrobacterium pusense	0.7749393639578918	10.421574539418573	5.127795416114344e-7	1.1344527162167578e-5	Plants
RHL75406.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__Agathobacter rectalis	-1.14041622526183	10.705683411907714	5.486817116396926e-7	1.200393655798394e-5	Animals
WP_075629382.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Pararhizobium	s__Pararhizobium oryzae	0.7777244415244983	10.425097364041113	5.85674250050587e-7	1.2672446135709954e-5	Plants
WP_090350657.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Rhodanobacteraceae	g__Luteibacter	s__Luteibacter sp000745055	0.8767822432468444	10.491501535969789	6.699851508643541e-7	1.4339138717955577e-5	Plants
WP_056669752.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Rhizobacter	s__Rhizobacter sp001425785	0.7661448427222747	10.43191850350551	9.966687420393043e-7	2.0783256510433758e-5	Plants
WP_097585867.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Rhizobium	s__Rhizobium esperanzae	0.757755471652341	10.442338311417526	1.0011367819715698e-6	2.0783256510433758e-5	Plants
WP_060716408.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Allorhizobium	s__Allorhizobium vitis_A	0.7592737074048495	10.433821479506081	1.0117099947253264e-6	2.0783256510433758e-5	Plants
AEB14293.1	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae	g__Treponema_D	s__Treponema_D succinifaciens	-1.1006834694711365	10.688272270361853	1.0133025012705133e-6	2.0783256510433758e-5	Animals
RGT84019.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__Agathobacter rectalis	-1.169590372868486	10.815111084453498	1.0621902972505013e-6	2.156136799264162e-5	Animals
WP_024350324.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Aurantimonas	s__Aurantimonas coralicida	-1.4610385684810752	11.636449379560872	1.2063825635464616e-6	2.4238441506356967e-5	Animals
EOS75972.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-95	s__CAG-95 sp000403495	-1.2352320878590357	10.767248800992455	1.5604051437313696e-6	3.1034724525323907e-5	Animals
OGO97570.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Hylemonella	s__Hylemonella sp001797315	0.8019606885793826	10.423313553725754	2.137110468843658e-6	4.207970513153163e-5	Plants
RHG23435.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__Agathobacter rectalis	-1.2554734743391769	10.856136157260059	2.2285519172286228e-6	4.344572995072434e-5	Animals
SDA44687.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__G11	s__G11 sp900103495	-1.0799746867276054	10.67939867915351	2.3959252709048986e-6	4.6250753513840644e-5	Animals
CUP26474.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospira	s__Lachnospira rogosae_A	-1.1102861193317999	10.770575124848694	2.506000255467187e-6	4.748433532322543e-5	Animals
RGT49373.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospira	s__Lachnospira eligens_A	-1.0358379304221443	10.660361498487305	2.5080603725827553e-6	4.748433532322543e-5	Animals
WP_025162502.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Paraclostridium	s__Paraclostridium bifermentans	-1.1282970943072903	10.708956257152394	2.5673496688748225e-6	4.814391902870977e-5	Animals
WP_108981172.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Lawsonibacter	s__Lawsonibacter asaccharolyticus	-1.1002828233947308	10.688206173720419	2.9949778704941164e-06	5.5633126669838824e-5	Animals
WP_026521620.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Butyrivibrio	s__Butyrivibrio sp000421405	-1.0421036639143033	10.66316429904766	3.6241755957629497e-6	6.669160512203035e-5	Animals
OYY61291.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Rhizobacter	s__Rhizobacter sp002281415	0.7266397980424754	10.483191786589613	4.108710988829861e-6	7.490788830561107e-5	Plants
