codon	Partition	alpha	beta1	p_1	beta2	p_2	LRT	p_value	no_branches_under_selection	Total_branch_length	MEME_LogL	FEL_LogL	Variation_p
124	1	8.08	0.06	1	12.12	0	0	0.67	0	0	-24.75	-24.75	1
125	1	0.63	0.02	0.89	1.48	0.11	-0.04	0.67	1	0	-27.96	-26.77	0.3
126	1	0.22	0	1	0.33	0	0	0.67	0	0	-8.47	-8.47	1
127	1	1.69	0.51	1	2.54	0	0	0.67	0	0	-37.37	-37.37	1
128	1	0.49	0	0.93	1.5	0.07	0.62	0.4	1	0	-25.97	-23.1	0.06
129	1	0.55	0.16	1	0.82	0	0	0.67	0	0	-30.43	-30.43	1
130	1	0.27	0.04	0.92	2.6	0.08	1.68	0.22	0	0	-24.57	-23.32	0.29
131	1	2669.43	0.09	1	4004.14	0	0	0.67	0	0	-21.05	-21.05	1
132	1	0.51	0.2	1	0.76	0	0	0.67	0	0	-34.24	-34.24	1
133	1	8.28	0.09	0.91	8.66	0.09	0	0.66	0	0	-34.37	-33.56	0.45
134	1	2.17	0.31	1	3.76	0	0	0.67	0	0	-37.71	-37.71	1
135	1	0.69	0.13	0.82	67.25	0.18	0.64	0.39	0	0	-40.05	-39.04	0.36
136	1	9.87	0.06	0.58	114.26	0.42	0	0.67	0	0	-43.89	-42.59	0.27
137	1	9.32	0.16	1	13.98	0	0	0.67	0	0	-29.37	-29.37	1
138	1	1.16	0	0.53	0.53	0.47	0	0.67	0	0	-34.4	-33.85	0.58
139	1	6.93	0.44	1	10.4	0	0	0.67	0	0	-43.19	-43.19	1
140	1	10.06	0.72	1	15.08	0	0	0.67	0	0	-44.55	-44.55	1
141	1	1.82	0.06	1	2.73	0	0	0.67	0	0	-22.05	-22.05	1
142	1	3.96	0.17	0.8	33.78	0.2	0.1	0.58	0	0	-38.84	-38.11	0.48
143	1	0.38	0	0.81	0.62	0.19	0.04	0.61	0	0	-24.58	-23.98	0.55
144	1	3.55	0.11	0	25.15	1	0	0.67	0	0	-42.57	-42.57	1
145	1	107.91	0.36	1	4.64	0	0	0.67	0	0	-41.69	-41.68	0.99
146	1	0.79	0.54	1	1.18	0	0	0.67	0	0	-40.49	-40.49	1
147	1	0.36	0.03	0	1.57	1	0.29	0.49	0	0	-41.39	-41.39	1
148	1	682.88	0.06	1	1024.31	0	0	0.67	0	0	-28.28	-28.28	1
149	1	52.33	0	1	78.5	0	0	0.67	0	0	-17.75	-17.75	1
150	1	3.03	0.13	0.83	6.01	0.17	-0.21	0.67	0	0	-38.98	-38.64	0.71
151	1	0.5	0.34	1	0.75	0	0	0.67	0	0	-37.08	-37.08	1
152	1	2.79	0	0.7	53.69	0.3	0.02	0.63	0	0	-40.1	-36.82	0.04
153	1	0	0	0.23	3.39	0.77	2.93	0.11	0	0	-41.08	-40.93	0.87
154	1	0.08	0.03	0.94	41.17	0.06	3.22	0.1	1	0	-24.36	-21.97	0.09
155	1	6.23	0.05	1	9.35	0	0	0.67	0	0	-21.71	-21.71	1
156	1	5.95	0.17	1	8.93	0	0	0.67	0	0	-30.25	-30.25	1
157	1	0	0	0.7	4.64	0.3	1.58	0.23	2	0	-36.27	-33.01	0.04
158	1	1.36	0.07	1	2.03	0	0	0.67	0	0	-20.2	-20.2	1
159	1	0.46	0	0.17	0.84	0.83	0.13	0.56	0	0	-40.44	-40.38	0.94
160	1	2.19	0.21	1	4.02	0	0	0.67	0	0	-33.4	-33.4	1
161	1	10.13	0.09	1	15.2	0	0	0.67	0	0	-22.02	-22.02	1
162	1	6883.18	0.28	1	10000	0	0	0.67	0	0	-36.5	-36.5	1
163	1	3758.11	0.4	1	2376.82	0	0	0.67	0	0	-38.26	-38.25	0.99
164	1	118.73	0.06	0.76	8193.43	0.24	-0.18	0.67	0	0	-40.46	-38.69	0.17
165	1	0.13	0	0.83	0.28	0.17	0.26	0.5	1	0	-20.48	-19.72	0.47
166	1	25.12	0	0.69	152.38	0.31	0	0.67	0	0	-44.01	-39.51	0.01
167	1	13.81	0.05	1	20.72	0	0	0.67	0	0	-18.68	-18.68	1
168	1	0.18	0.12	0.69	7.97	0.31	2.28	0.16	0	0	-42.1	-41.09	0.37
169	1	0	0	0.92	0.89	0.08	2.86	0.12	1	0	-13.36	-11.67	0.18
170	1	6.03	0.3	0.89	4.41	0.11	0	0.67	0	0	-38.51	-38.28	0.79
171	1	0	0	0.6	11.04	0.4	3.24	0.09	0	0	-40.07	-38.46	0.2
172	1	0.23	0	0.89	92.32	0.11	2.81	0.12	2	0	-31.52	-27.67	0.02
173	1	0.8	0.15	1	1.27	0	0	0.67	0	0	-30.44	-30.44	1
174	1	0.42	0	0.89	0.5	0.11	0.01	0.65	1	0	-23.72	-22.44	0.28
175	1	0.38	0	0.77	1.04	0.23	0.87	0.34	1	0	-30.87	-28.89	0.14
176	1	0.11	0.04	1	0.16	0	0	0.67	0	0	-15.24	-15.24	1
177	1	0.65	0	0.86	0.42	0.14	0	0.67	0	0	-24.17	-23.12	0.35
178	1	52.33	0	1	78.5	0	0	0.67	0	0	-10.59	-10.59	1
179	1	6.52	0.06	1	9.77	0	0	0.67	0	0	-23.88	-23.88	1
180	1	0.68	0	0.92	0.72	0.08	0	0.67	1	0	-18.01	-15.93	0.13
181	1	431.27	0.07	1	646.9	0	0	0.67	0	0	-17.3	-17.3	1
182	1	3.97	0.02	0.86	7.13	0.14	-0.04	0.67	2	0	-31.82	-29.05	0.06
183	1	0.55	0.05	1	0.82	0	0	0.67	0	0	-18.72	-18.72	1
184	1	0.12	0	0.94	83.03	0.06	1.81	0.2	1	0	-17.53	-16.11	0.24
185	1	15.15	0.03	0.94	4.53	0.06	0	0.67	0	0	-29.54	-27.78	0.17
186	1	0.46	0.2	1	0.69	0	0	0.67	0	0	-32.18	-32.18	1
187	1	1196.03	0.08	1	1794.05	0	0	0.67	0	0	-33.14	-33.14	1
188	1	0.23	0.03	1	0.35	0	0	0.67	0	0	-21.83	-21.83	1
189	1	786.13	0.14	0.94	13.34	0.06	0	0.67	0	0	-34.79	-34.63	0.85
190	1	0.92	0.1	1	1.37	0	0	0.67	0	0	-28.34	-28.34	1
191	1	0.16	0	0.78	0.83	0.22	0.5	0.43	1	0	-25.73	-24.96	0.46
192	1	17.71	0.02	1	26.56	0	0	0.67	0	0	-16.23	-16.23	1
193	1	0.39	0.03	1	0.59	0	0	0.67	0	0	-18.3	-18.3	1
194	1	0.97	0.05	0.88	0.94	0.12	0	0.67	0	0	-27.86	-27.36	0.61
195	1	0.47	0.07	1	0.7	0	0	0.67	0	0	-21.48	-21.48	1
196	1	39	0	1	58.5	0	0	0.67	0	0	-10.22	-10.22	1
197	1	0	0	0.83	0.96	0.17	3.12	0.1	2	0	-18	-16.49	0.22
198	1	0.27	0.08	0.96	0.47	0.04	-0.01	0.67	0	0	-29.2	-29.19	1
199	1	546.95	0.14	1	820.42	0	0	0.67	0	0	-28.51	-28.51	1
200	1	1.62	0.07	1	2.43	0	0	0.67	0	0	-20.76	-20.76	1
201	1	7.95	0.35	1	11.93	0	0	0.67	0	0	-39.9	-39.9	1
202	1	14.98	0.03	1	22.46	0	0	0.67	0	0	-26.69	-26.69	1
203	1	0.37	0.03	0.82	1.51	0.18	1.08	0.3	2	0	-31.91	-30.47	0.24
204	1	12.56	0	0.88	0.38	0.12	0	0.67	0	0	-20.55	-19.26	0.28
205	1	2	0	0.94	4.3	0.06	-0.04	0.67	1	0	-29.01	-25.97	0.05
206	1	0	0	1	0	0	0	1	0	0	0	0	1
207	1	1.15	0	0.6	0.7	0.4	0	0.67	0	0	-33.83	-32.93	0.41
208	1	0	0	0.38	5.75	0.62	1.81	0.2	0	0	-40.26	-39.92	0.71
209	1	0.54	0	0.68	548.36	0.32	0.96	0.32	0	0	-43.48	-39.5	0.02
210	1	0	0	0.77	27.58	0.23	5.01	0.04	1	0	-36.34	-27.82	0
211	1	0.09	0.09	0.86	55.8	0.14	5.98	0.02	1	0	-36.6	-33.7	0.06
212	1	2.46	0.12	1	3.69	0	0	0.67	0	0	-27.11	-27.11	1
213	1	10.92	0.07	1	16.38	0	0	0.67	0	0	-31.33	-31.33	1
214	1	9.19	0	0.68	6.34	0.32	0	0.67	0	0	-43.87	-39.1	0.01
215	1	0.2	0	1	0.3	0	0	0.67	0	0	-15.76	-15.76	1
216	1	1.42	0.05	1	2.13	0	0	0.67	0	0	-20.76	-20.76	1
217	1	0.37	0.02	0.87	3.77	0.13	2.36	0.15	1	0	-34.8	-32.47	0.1
